n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
200,50,0.3,200,GreedyHashMap,8,8.1e-05,1
200,50,0.3,200,Randomized,24,0.001047,1
200,50,0.5,42,Greedy,5,0.000268,1
200,50,0.5,42,GreedyHashMap,5,9.1e-05,1
200,50,0.5,42,Randomized,19,0.001419,1
200,50,0.5,123,Greedy,5,0.000262,1
200,50,0.5,123,GreedyHashMap,5,9.7e-05,1
200,50,0.5,123,Randomized,17,0.00172,1
200,50,0.5,7,Greedy,5,0.000266,1
200,50,0.5,7,GreedyHashMap,5,9e-05,1
200,50,0.5,7,Randomized,22,0.001548,1
200,50,0.5,31,Greedy,5,0.00026,1
200,50,0.5,31,GreedyHashMap,5,9.1e-05,1
200,50,0.5,31,Randomized,16,0.001532,1
200,50,0.5,999,Greedy,5,0.000292,1
200,50,0.5,999,GreedyHashMap,5,9.9e-05,1
200,50,0.5,999,Randomized,17,0.001369,1
200,50,0.5,17,Greedy,5,0.000279,1
200,50,0.5,17,GreedyHashMap,5,8.9e-05,1
200,50,0.5,17,Randomized,22,0.001459,1
200,50,0.5,53,Greedy,5,0.000271,1
200,50,0.5,53,GreedyHashMap,5,8.9e-05,1
200,50,0.5,53,Randomized,22,0.001565,1
200,50,0.5,77,Greedy,5,0.000279,1
200,50,0.5,77,GreedyHashMap,5,9.9e-05,1
200,50,0.5,77,Randomized,17,0.00172,1
200,50,0.5,101,Greedy,5,0.000263,1
200,50,0.5,101,GreedyHashMap,4,8.7e-05,1
200,50,0.5,101,Randomized,16,0.001579,1
200,50,0.5,200,Greedy,5,0.000276,1
200,50,0.5,200,GreedyHashMap,5,9.6e-05,1
200,50,0.5,200,Randomized,21,0.001508,1
200,100,0.1,42,Greedy,20,0.000489,1
200,100,0.1,42,GreedyHashMap,21,8.3e-05,1
200,100,0.1,42,Randomized,49,0.002109,1
200,100,0.1,123,Greedy,19,0.000475,1
200,100,0.1,123,GreedyHashMap,20,8e-05,1
200,100,0.1,123,Randomized,47,0.001823,1
200,100,0.1,7,Greedy,20,0.000458,1
200,100,0.1,7,GreedyHashMap,19,9.6e-05,1
200,100,0.1,7,Randomized,47,0.002078,1
200,100,0.1,31,Greedy,19,0.000447,1
200,100,0.1,31,GreedyHashMap,19,8.7e-05,1
200,100,0.1,31,Randomized,47,0.001786,1
200,100,0.1,999,Greedy,18,0.000464,1
200,100,0.1,999,GreedyHashMap,18,8.7e-05,1
200,100,0.1,999,Randomized,50,0.001785,1
200,100,0.1,17,Greedy,18,0.000478,1
200,100,0.1,17,GreedyHashMap,18,8.2e-05,1
200,100,0.1,17,Randomized,53,0.001884,1
200,100,0.1,53,Greedy,17,0.000415,1
200,100,0.1,53,GreedyHashMap,17,8.4e-05,1
200,100,0.1,53,Randomized,48,0.001855,1
200,100,0.1,77,Greedy,18,0.000464,1
200,100,0.1,77,GreedyHashMap,18,8.6e-05,1
200,100,0.1,77,Randomized,51,0.001883,1
200,100,0.1,101,Greedy,19,0.000448,1
200,100,0.1,101,GreedyHashMap,19,8.7e-05,1
200,100,0.1,101,Randomized,49,0.00188,1
200,100,0.1,200,Greedy,21,0.000472,1
200,100,0.1,200,GreedyHashMap,20,7.9e-05,1
200,100,0.1,200,Randomized,53,0.001777,1
200,100,0.3,42,Greedy,7,0.000531,1
200,100,0.3,42,GreedyHashMap,8,0.000122,1
200,100,0.3,42,Randomized,32,0.003602,1
200,100,0.3,123,Greedy,7,0.00049,1
200,100,0.3,123,GreedyHashMap,8,0.000111,1
